I_Code,I_Name,Min_Reorder,I_P_Price,I_S_Price_W,I_S_Price_N,I_S_Price_P,I_Disc
257014021,"بنجالين بناتى م 147 التوحيد ص",0,190,193,193,203,0
257014022,"شماعة اولادى جينز م 152 التوحيد ص",0,175,178,178,188,0
257014023,"قميص اولادى م 154 التوحيد ص",0,300,310,310,320,0
257014024,"شماعة بناتى سلوبيت م 160 التوحيد ص",0,210,215,215,225,0
257014025,"بناتى م 959 التوحيد ص",0,110,115,115,125,0
257014026,"بناتى م 1024 التوحيد ص",0,110,115,115,125,0
257014027,"اولادى قميص م 117 التوحيد ص",0,300,310,310,320,0
257014028,"اولادى م 118 التوحيد ص",0,155,158,158,168,0
257014029,"اولادى م 120 التوحيد ص",0,155,158,158,168,0
257014030,"اولادى م 121 التوحيد ص",0,180,183,183,193,0
257014031,"بناتى م 122 التوحيد ص",0,130,133,133,143,0
257014032,"بناتى م 123 التوحيد ص",0,150,153,153,163,0
257014033,"بناتى م 124 التوحيد ص",0,145,148,148,158,0
257014034,"بناتى م 125 التوحيد ص",0,170,173,173,183,0
257014035,"شماعة بناتى م 130 التوحيد ص",0,150,153,153,163,0
257014036,"شماعة بناتى م 131 التوحيد ص",0,150,153,153,163,0
257014037,"شماعة بناتى م 132 التوحيد ص",0,150,153,153,163,0
257014038,"شماعة بناتى م 133 التوحيد ص",0,150,153,153,163,0
257014039,"شماعة بناتى م 134 التوحيد ص",0,150,153,153,163,0
257014040,"بناتى م 135 التوحيد ص",0,160,163,163,173,0
257068013,"اولادى م14/12/10 م 1042 الشامى ص",0,155,157,157,167,0
257068014,"اولادى م20/18/16 م 1024 الشامى ص",0,155,157,157,167,0
257068015,"اولادى م14/12/10 م 1035 الشامى ص",0,135,137,137,147,0
257068016,"اولادى م 20/18/16 م 1035 الشامى ص",0,155,157,157,167,0
257068017,"اولادى م14/12/10 م 1024 الشامى ص",0,135,137,137,147,0
257068018,"بناتى م14/12/10 م 947 الشامى ص",0,145,147,147,157,0
257068019,"اولادى م8/6/4/2 م 956 الشامى ص",0,120,122,122,132,0
257068020,"بناتى م20/18/16 م 951 الشامى ص",0,165,167,167,177,0
257068021,"بناتى م20/18/16 م 949 الشامى ص",0,165,167,167,177,0
257068022,"اولادى م14/12/10 م 952 الشامى ص",0,135,137,137,147,0
250536053,"م 741 زورو توينز ثرى دى محير ص",0,395,394,395,405,10
250536054,"م 743 زورو توينكز ثرى دى محير ص",0,395,394,395,405,10
250536055,"م 728 زورو توينز بنجالين محير ص",0,395,394,395,405,10
250536056,"م 729 زورو توينز بنجالين محير ص",0,395,394,395,405,10
250536057,"م 732 زورو توينز بنجالين محير ص",0,395,394,395,405,10
250536058,"م 735 زورو توينز بنجالين محير ص",0,395,394,395,405,10
250536059,"م 736 زورو توينز بنجالين محير ص",0,395,394,395,405,10
250536060,"م 737 زورو توينز بنجالين محير ص",0,395,394,395,405,10
250536061,"م 750 زورو توينز بنجالين محير ص ",0,395,394,395,405,10
256182001,"اسدال محير م 910 السماء",0,249,254,254,274,0
256182002,"اسدال رقبه حريمى م 911 السماء",0,345,350,350,380,0
256182003,"ملحفه حريمى م 915 السماء",0,374,379,379,405,0
256182004,"عباية كم كبير م872 السماء",0,360,365,365,385,0
256182005,"اسدال حريمى م912 السماء",0,347,352,352,372,0
256182006,"اسدال باندا كبير م 906 السماء",0,332,337,337,357,0
256182007,"عباية حريمى م 860 السماء",0,299,304,304,325,0
256182008,"اسدال باندا كبير م 899 السماء",0,330,335,335,355,0
256182009,"عباية ادوار محير م 780 السماء",0,248,253,253,273,0
256182010,"عباية قماش ستان مXL م 3170 السماء",0,332,337,337,357,0
256182011,"عباية ستان مXXL م3170 السماء",0,337,342,342,362,0
256182012,"عباية ستان م3XL م 3170 السماء",0,342,347,347,370,0
256182013,"عباية محير م 610 السماء",0,206,211,211,235,0
256182014,"عباية 4 ادوار محير م 773 السماء",0,209,214,214,234,0
256182015,"عباية ادوار محير م 803 السماء",0,226,231,231,255,0
256182016,"اسدال حريمى م 708 السماء",0,210,220,220,240,0
256182017,"عباية ادوار محير م 737 السماء ",0,224,229,229,249,0
256182018,"عباية محير م 809 السماء",0,247,252,252,275,0
256182019,"عباية اطفال م10 م2123 السماء",0,206,216,216,236,0
256182020,"عباية اطفال م12 م 2124 السماء",0,221,231,231,251,0
256182021,"عباية اطفال م 14 م 2125 السماء",0,236,246,246,266,0
253082001,"سيلكون م 634 الحرمين",0,540,590,590,610,0
253082002,"عباية م 749 الحرمين",0,630,690,690,710,0
253082003,"عباية م 674 الحرمين",0,600,650,650,670,0
253082004,"الوان واسود م 790 الحرمين",0,620,670,670,690,0
257068023,"اولادى م8/6/4 م 932 الشامى ص",0,120,122,122,132,0
257068024,"اولادى م 14/12/10 م 954 الشامى ص",0,135,137,137,147,0
